nom_site,art_url
linkedin,358
linguee,274
researchgate,213
docplayer,182
books.google,166
cairn.info,153
pinterest,142
indeed,138
facebook,131
viadeo.journaldunet,129
wikipedia,122
senat,109
amazon,107
tel.archives-ouvertes,106
youtube,101
twitter,99
slideshare,98
calameo,97
talent,92
journals.openedition,92
journaldunet,86
issuu,85
lemagit,83
aijobs.tech,83
economie.gouv,80
theses,78
lesechos,77
hal.archives-ouvertes,77
scribd,72
legifrance.gouv,70
assemblee-nationale,68
lagazettedescommunes,66
ccomptes,65
usine-digitale,62
dumas.ccsd.cnrs,59
vie-publique,57
banquedesterritoires,56
yumpu,55
usinenouvelle,54
sites.google,52
core.ac.uk,51
cnfpt,51
wizbii,50
malt,50
medium,49
lemondeinformatique,46
performance-publique.budget.gouv,46
centraledesmarches,46
orsys,45
link.springer,44
hal.inria,44
sciencedirect,43
silicon,42
glassdoor,42
lemonde,42
slideplayer,42
context.reverso,41
translate.google,39
freelance-informatique,38
ouest-france,38
archimag,37
zdnet,37
github,37
interieur.gouv,36
jooble,36
doczz,35
europa,35
scanr.enseignementsup-recherche.gouv,35
weka,34
actu-environnement,34
patents.google,32
itsocial,32
techniques-ingenieur,32
finance.yahoo,31
collectivites-locales.gouv,31
reseau.intercariforef,31
memoireonline,31
academia.edu,30
frenchweb,30
capital,30
persee,30
francecompetences,30
modernisation.gouv,29
solidarites-sante.gouv,29
latribune,29
bordeaux-metropole,29
neuvoo,29
zonebourse,29
culture.gouv,29
arxiv,28
pagesjaunes,28
gouvernement,28
ftp,28
corse,27
appvizer,27
emploi-territorial,27
docs.microsoft,27
bpifrance,27
semanticscholar,26
defense.gouv,26
iledefrance,26
capterra,26
capgemini,26
ibm,26
ieeexplore.ieee,25
berger-levrault,25
ecropa,25
informatiquenews,25
parisjob,25
dl.acm,25
fr-facebook,25
citeseerx.ist.psu.edu,24
oecd,24
ladepeche,24
eyrolles,24
epfl.ch,24
ladocumentationfrancaise,24
systematic-paris-region,24
aefinfo,24
decideo,24
worldwidescience,23
mdpi,23
cigref,23
m2iformation,23
alain-bensoussan,23
itespresso,23
techdico,22
scoop.it,22
fonction-publique.gouv,22
deloitte,22
challenges,22
enssib,22
emploipublic,22
dailymotion,22
dalloz-actualite,22
education.gouv,22
ouillade,22
lemoniteur,22
docaufutur,21
bfmtv,21
ademe,21
studylibcom,21
ns2.diplomados.edu.pe,21
eur-lexropa,21
pastel.diplomatie.gouv,21
societe,21
celge,21
itforbusiness,21
m.facebook,21
sage,20
weka.jobs,20
idcite,20
jstor,20
ic.gc.ca,20
optioncarriere,20
cerema,20
pubmed.ncbi.nlm.nih.gov,20
internetactu,20
globalsecuritymag,20
universite-paris-saclay,20
globenewswire,20
gpomag,20
nextinpact,20
linformaticien,20
onlinelibrary.wiley,20
irit,20
alliancy,20
ncbi.nlm.nih.gov,20
leparisien,20
questions.assemblee-nationale,20
science.gov,20
jobs.smartrecruiters,20
welcometothejungle,20
gfi.world,19
territorial,19
francearchives,19
departement06,19
eterritoire,19
adequancy,19
villes-internet,19
data.gouv,19
halshs.archives-ouvertes,19
hal.univ-lorraine,19
village-justice,19
ctguyane,18
decision-achats,18
audentia-gestion,18
prefectures-regions.gouv,18
courrierdesmaires,18
sap,18
cio-online,18
tandfonline,18
maire-info,18
acteurspublics,18
archive,17
afia.asso,17
cdiscount,17
cordisropa,17
argusdelassurance,17
books.openedition,17
lefigaro,17
grandlyon,17
chefdentreprise,17
actusnews,17
strategie.gouv,17
ouestjob,17
halldulivre,17
bearingpoint,17
bnains,17
docs.oracle,17
ressources.anap,17
wavestone,17
coursera,17
scholar.google,17
ebay,16
cadreo,16
myrhline,16
adcf,16
emploi.lagazettedescommunes,16
20minutes,16
bfmbusiness.bfmtv,16
edf,16
pinterest.at,16
compta-online,16
forbes,16
wipo.int,16
zephyrnet,16
leslivresblancs,15
fao,15
marche-public,15
defi-metiers,15
emploi-collectivites,15
finyear,15
place-ep-recrute.talent-soft,15
prnewswire,15
orientation-pour-tous,15
academic.oup,15
ugap,15
atos,15
ori-nuxeo.univ-lille1,15
play.google,15
sciencespo,15
soprasteria,15
letudiant,15
collectivitedemartinique.mq,15
tedropa,15
solutions-numeriques,15
skillup.co,15
azure.microsoft,15
amazon.co.uk,14
lepoint,14
en.wikipedia,14
sudouest,14
oezratty,14
candidat.pole-emploi,14
calenda,14
btb.termiumplus.gc.ca,14
letelegramme,14
livre.fnac,14
cnil,14
ticsante,14
studyrama,14
cadremploi,14
daf-mag,14
diplomatie.gouv,14
qaz.wiki,14
documentation.ehesp,14
dspace.univ-tlemcen.dz,14
ressources.seinesaintdenis,14
kelformation,14
cci,14
mc2i,14
documents.irevues.inist,14
millenaire3,14
cgi,14
docnum.univ-lorraine,14
getapp,13
cdg35,13
actuia,13
cegid,13
amue,13
oecd-ilibrary,13
entreprises.lefigaro,13
industrie-mag,13
maformation,13
wikiterritorial.cnfpt,13
journals.sagepub,13
temis.documentation.developpement-durable.gouv,13
agence-api.ouest-france,13
theconversation,13
cache.media.enseignementsup-recherche.gouv,13
france3-regionsancetvinfo,13
caissedesdepots,13
onlyengineerjobs,13
orange-business,13
business.lesechos,13
shopping.rakuten,13
insee,13
la1ereancetvinfo,13
rhmatin,13
europepmc,12
dial.uclouvain.be,12
pwc,12
univ-montp3,12
oracle,12
estrepublicain,12
anr,12
uphf,12
amf.asso,12
doc.rero.ch,12
doyoubuzz,12
etudier,12
smartcitymag,12
francemarches,12
lebigdata,12
dokodoc,12
developpez,12
infos.emploipublic,12
softeaminstitute,12
businesswire,12
docaposte,12
siecledigital,12
01net,12
banque-france,12
hubinstitute,12
club-innovation-culture,12
linguee.de,12
journals.plos,12
nouvelobs,12
batiactu,12
springerprofessional.de,12
erudit,12
rekrute,12
agritrop.cirad,12
marchesonline,12
georezo,12
horizon.documentation.ird,12
stackoverflow,12
kiosque.bercy.gouv,12
simplyhired,12
grandest,11
pantheonsorbonne,11
lettreducadre,11
focusrh,11
lsa-conso,11
orange.jobs,11
prezi,11
amazon.in,11
people-doc,11
enjeuxdaf,11
worldreginfo,11
hebergementwebs,11
lesepl,11
marches-publics.gouv,11
marseille,11
digitalcorner-wavestone,11
deliberations.ampmetropole,11
papyrus.bib.umontreal.ca,11
affiches-parisiennes,11
amazon.ca,11
pinterest.co.uk,11
pinterest.ca,11
meteojob,11
pastel.archives-ouvertes,11
pinterest.es,11
lapresse.ca,11
blog.economie-numerique,11
memsic.ccsd.cnrs,11
accenture,11
midilibre,11
sudouestjob,11
industrie-techno,11
archipel.uqam.ca,11
emploi-environnement,11
larevuedudigital,11
avicca,11
decitre,11
mediatheques.collectivitedemartinique.mq,11
ca.linkedin,11
iaea,11
sas,11
dl.ummto.dz,10
reddit,10
codeur,10
paris-normandie,10
societe.tech,10
references.modernisation.gouv,10
societeinfo,10
emploi-pro,10
comparatif-logiciels,10
syntec-numerique,10
rhonealpesjob,10
d1n7iqsz6ob2ad.cloudfront,10
enjeuxrh,10
enseignementsup-recherche.gouv,10
spinpart,10
agriculture.gouv,10
editions-eni,10
entreprises.gouv,10
progonline,10
entreprises.insa-strasbourg,10
cultura,10
ecologie.gouv,10
erp-infos,10
publications.polymtl.ca,10
actu,10
dunod,10
cache.media.eduscol.education,10
dsih,10
